Patient_ID,Angular_Mean,Angular_Variance,GLCM_Entropy,GLCM_Homogeneity,LBP_Entropy,LBP_Mean,LBP_Variance,Spectral_Entropy,Statistical_Entropy
LUNG1-001,71.2583022307153,1830.1356389534396,,,6.594030581814567,131.2854554439137,7559.807294266757,6.405150458976803,5.389299039954527
LUNG1-002,68.47769322422916,3394.954686823041,,,,,,6.566696204572044,5.703748232179721
LUNG1-003,66.36467488742153,2931.9293105842016,,,,,,5.349879594355379,6.974687120111343
LUNG1-004,87.07153303926744,1976.916104782027,,,,,,6.978643282858489,5.997411275309544
LUNG1-005,71.28743404802198,2428.363280614265,,,,,,6.2613447859279,4.764475366910711
LUNG1-006,74.47954881576241,2396.439056264434,,,,,,6.722617310136127,7.159189054917586
LUNG1-007,82.30037602705255,2519.097977489173,,,,,,6.527450613769685,7.012854960344471
LUNG1-008,65.53048803765276,2680.3563885417952,,,,,,5.424185395843494,6.310715496998682
LUNG1-009,73.68579109623448,2450.286366169179,,,,,,6.662591336179323,6.223830495871452
LUNG1-010,75.9993312125389,2213.703588842023,,,,,,5.717906942225434,6.426589889322624
LUNG1-011,75.95853102929502,2441.714533392198,,,,,,8.023582956204995,7.299977001197531
LUNG1-012,62.09848866293692,2405.695187856986,,,,,,7.236936423852819,5.97781222270247
LUNG1-013,85.17913001269629,1832.8072948977983,,,,,,7.227881200284981,5.7009896495413255
LUNG1-014,73.36020709257063,2093.304905846901,,,,,,5.574777240882501,7.766371714446751
LUNG1-015,41.50870381105951,1800.1582909072015,,,,,,4.9894981029000425,7.034545523720658
LUNG1-016,85.28965514650832,1404.1271918706282,,,,,,5.469456640455596,6.45127989331738
LUNG1-017,77.09963487339746,2324.6194027159404,,,,,,7.100870247069565,6.305761846985113
LUNG1-018,93.94735403627016,3530.864943223557,,,,,,5.420978355075468,5.641416896867515
LUNG1-019,77.28382922609626,2932.10770565623,,,,,,7.189536058946208,4.786943395586156
LUNG1-020,62.4489091838896,2395.693304864934,,,,,,5.860506732528051,7.167227436455663
LUNG1-021,78.71487229885635,1970.4369460863636,,,,,,7.224287660907389,6.233625236051982
LUNG1-022,75.03181707154967,2077.671429520759,,,,,,6.682896185563525,6.902336574324325
LUNG1-023,59.0665987446622,2236.9752128965965,,,,,,6.30423366881381,4.588411130436662
LUNG1-024,,,,,,,,,7.080587251351376
LUNG1-025,54.68106628402936,1832.0316866164965,,,,,,6.390777667742206,6.192184619721986
LUNG1-026,82.63272421960735,2499.25917544218,,,,,,6.489931727467986,5.77786144860139
LUNG1-027,91.36823940554947,649.6014197238419,,,,,,3.233417513646193,6.997560383705316
LUNG1-028,77.06805152591076,2678.9826284661067,,,,,,6.309290355861763,6.980746805154717
LUNG1-029,90.57409924628158,2215.373742464172,,,,,,7.769092982219248,6.26474760051785
LUNG1-030,79.89427130904002,2967.8561183376382,,,,,,6.854661416584384,5.517431002035882
LUNG1-031,72.8547702370069,2430.862498283488,,,,,,6.442650517853322,6.145610482424093
LUNG1-032,76.2057800681376,3750.133149918513,,,,,,5.51460476286989,4.848234523349023
LUNG1-033,63.04527696203728,2640.1218043472377,,,,,,6.758612716981812,4.640939227721243
LUNG1-034,53.07314160881941,2935.378377255235,,,,,,5.833550501436311,5.80080814734908
LUNG1-035,73.24716396360046,2869.2778510339044,,,,,,6.521363802052649,6.562957418176062
LUNG1-036,76.53679024191905,1907.233401191149,,,,,,5.300176013497816,5.6565589611936105
LUNG1-037,62.50675491724735,3085.233033626251,,,,,,4.976093329304496,7.404516452303358
LUNG1-038,39.520308533815495,1703.643035538705,,,,,,4.824917123049003,5.676661242267112
LUNG1-039,63.57442883898337,2171.5181174132376,,,,,,5.857938249139237,7.338778846364347
